# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.to.snapshot.ms,1697550173979000000,1697550181376000000,1
workspaceModel.updates.count,1697550173979000000,1697550181376000000,9
workspaceModel.initializing.ms,1697550173979000000,1697550181376000000,21
workspaceModel.pre.handlers.ms,1697550173979000000,1697550181376000000,1
FileNameCache.queries,1697550173979000000,1697550181376000000,6222
FileNameCache.totalMisses,1697550173979000000,1697550181376000000,0
FileNameCache.fastMisses,1697550173979000000,1697550181376000000,86
NonBlockingReadAction.failedExecutionTimeUs,1697550173979000000,1697550181376000000,0
AWTEventQueue.dispatchTimeTotalNS,1697550173979000000,1697550181376000000,895428600
NonBlockingReadAction.failedExecutionsCount,1697550173979000000,1697550181376000000,0
NonBlockingReadAction.finalizedExecutionsCount,1697550173979000000,1697550181376000000,36
NonBlockingReadAction.finalizedExecutionTimeUs,1697550173979000000,1697550181376000000,174136
workspaceModel.moduleBridge.update.option.ms,1697550173979000000,1697550181376000000,0
jps.app.storage.content.writer.save.component.ms,1697550173979000000,1697550181376000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1697550173979000000,1697550181376000000,31
jps.reload.project.entities.ms,1697550173979000000,1697550181376000000,0
jps.module.iml.entities.serializer.save.entities.ms,1697550173979000000,1697550181376000000,0
jps.app.storage.content.reader.load.component.ms,1697550173979000000,1697550181376000000,0
